Timestamp,Sensor ID,Vehicle Count,Average Speed (km/h),Density (%)
2026-08-07 19:57:00,SENS-1000,280,29,93
2026-08-07 20:12:00,SENS-1000,119,54,39
2026-08-07 20:27:00,SENS-1000,93,70,31
2026-08-07 20:42:00,SENS-1000,93,47,31
2026-08-07 20:57:00,SENS-1000,107,67,35
2026-08-07 21:12:00,SENS-1000,133,63,44
2026-08-07 21:27:00,SENS-1000,68,59,22
2026-08-07 21:42:00,SENS-1000,84,73,28
2026-08-07 21:57:00,SENS-1000,65,66,21
2026-08-07 22:12:00,SENS-1000,76,52,25
2026-08-07 22:27:00,SENS-1000,172,42,57
2026-08-07 22:42:00,SENS-1000,100,70,33
2026-08-07 22:57:00,SENS-1000,79,67,26
2026-08-07 23:12:00,SENS-1000,47,61,15
2026-08-07 23:27:00,SENS-1000,20,90,6
2026-08-07 23:42:00,SENS-1000,10,80,3
2026-08-07 23:57:00,SENS-1000,12,67,4
2026-08-08 00:12:00,SENS-1000,23,57,7
2026-08-08 00:27:00,SENS-1000,23,83,7
2026-08-08 00:42:00,SENS-1000,25,70,8
2026-08-08 00:57:00,SENS-1000,22,74,7
2026-08-08 01:12:00,SENS-1000,25,56,8
2026-08-08 01:27:00,SENS-1000,52,74,17
2026-08-08 01:42:00,SENS-1000,17,73,5
2026-08-08 01:57:00,SENS-1000,31,71,10
2026-08-08 02:12:00,SENS-1000,14,91,4
2026-08-08 02:27:00,SENS-1000,33,81,11
2026-08-08 02:42:00,SENS-1000,47,66,15
2026-08-08 02:57:00,SENS-1000,28,86,9
2026-08-08 03:12:00,SENS-1000,25,64,8
2026-08-08 03:27:00,SENS-1000,42,101,14
2026-08-08 03:42:00,SENS-1000,30,63,10
2026-08-08 03:57:00,SENS-1000,24,49,8
2026-08-08 04:12:00,SENS-1000,30,92,10
2026-08-08 04:27:00,SENS-1000,11,63,3
2026-08-08 04:42:00,SENS-1000,41,77,13
2026-08-08 04:57:00,SENS-1000,24,91,8
2026-08-08 05:12:00,SENS-1000,8,67,2
2026-08-08 05:27:00,SENS-1000,13,70,4
2026-08-08 05:42:00,SENS-1000,48,73,16
2026-08-08 05:57:00,SENS-1000,34,66,11
2026-08-08 06:12:00,SENS-1000,83,41,27
2026-08-08 06:27:00,SENS-1000,68,73,22
2026-08-08 06:42:00,SENS-1000,144,40,48
2026-08-08 06:57:00,SENS-1000,87,75,28
2026-08-08 07:12:00,SENS-1000,294,13,100
2026-08-08 07:27:00,SENS-1000,394,37,100
2026-08-08 07:42:00,SENS-1000,230,32,76
2026-08-08 07:57:00,SENS-1000,261,21,87
2026-08-08 08:12:00,SENS-1000,277,20,92
2026-08-08 08:27:00,SENS-1000,212,20,70
2026-08-08 08:42:00,SENS-1000,177,31,59
2026-08-08 08:57:00,SENS-1000,226,35,75
2026-08-08 09:12:00,SENS-1000,164,13,74
2026-08-08 09:27:00,SENS-1000,315,13,100
2026-08-08 09:42:00,SENS-1000,137,12,65
2026-08-08 09:57:00,SENS-1000,315,33,100
2026-08-08 10:12:00,SENS-1000,116,80,38
2026-08-08 10:27:00,SENS-1000,135,63,45
2026-08-08 10:42:00,SENS-1000,82,58,27
2026-08-08 10:57:00,SENS-1000,139,61,46
2026-08-08 11:12:00,SENS-1000,61,58,20
2026-08-08 11:27:00,SENS-1000,46,76,15
2026-08-08 11:42:00,SENS-1000,113,77,37
2026-08-08 11:57:00,SENS-1000,108,46,36
2026-08-08 12:12:00,SENS-1000,84,70,28
2026-08-08 12:27:00,SENS-1000,171,63,56
2026-08-08 12:42:00,SENS-1000,102,61,34
2026-08-08 12:57:00,SENS-1000,86,59,28
2026-08-08 13:12:00,SENS-1000,94,75,31
2026-08-08 13:27:00,SENS-1000,113,37,37
2026-08-08 13:42:00,SENS-1000,107,48,35
2026-08-08 13:57:00,SENS-1000,75,71,25
2026-08-08 14:12:00,SENS-1000,68,46,22
2026-08-08 14:27:00,SENS-1000,107,44,35
2026-08-08 14:42:00,SENS-1000,142,57,47
2026-08-08 14:57:00,SENS-1000,72,57,24
2026-08-08 15:12:00,SENS-1000,115,60,38
2026-08-08 15:27:00,SENS-1000,76,49,25
2026-08-08 15:42:00,SENS-1000,129,42,43
2026-08-08 15:57:00,SENS-1000,93,46,31
2026-08-08 16:12:00,SENS-1000,268,13,100
2026-08-08 16:27:00,SENS-1000,384,18,100
2026-08-08 16:42:00,SENS-1000,204,27,68
2026-08-08 16:57:00,SENS-1000,204,29,68
2026-08-08 17:12:00,SENS-1000,158,26,52
2026-08-08 17:27:00,SENS-1000,249,10,100
2026-08-08 17:42:00,SENS-1000,328,26,100
2026-08-08 17:57:00,SENS-1000,230,31,76
2026-08-08 18:12:00,SENS-1000,278,30,92
2026-08-08 18:27:00,SENS-1000,194,13,84
2026-08-08 18:42:00,SENS-1000,163,26,54
2026-08-08 18:57:00,SENS-1000,182,36,60
2026-08-08 19:12:00,SENS-1000,210,20,70
2026-08-08 19:27:00,SENS-1000,261,34,87
2026-08-08 19:42:00,SENS-1000,218,9,92
2026-08-08 19:57:00,SENS-1000,255,21,85
2026-08-08 20:12:00,SENS-1000,120,64,40
2026-08-08 20:27:00,SENS-1000,90,41,30
2026-08-08 20:42:00,SENS-1000,166,67,55
2026-08-08 20:57:00,SENS-1000,59,44,19
2026-08-08 21:12:00,SENS-1000,86,69,28
2026-08-08 21:27:00,SENS-1000,62,80,20
2026-08-08 21:42:00,SENS-1000,85,51,28
2026-08-08 21:57:00,SENS-1000,69,53,23
2026-08-08 22:12:00,SENS-1000,71,39,23
2026-08-08 22:27:00,SENS-1000,103,54,34
2026-08-08 22:42:00,SENS-1000,126,48,42
2026-08-08 22:57:00,SENS-1000,40,67,13
2026-08-08 23:12:00,SENS-1000,32,101,10
2026-08-08 23:27:00,SENS-1000,17,59,5
2026-08-08 23:42:00,SENS-1000,39,71,13
2026-08-08 23:57:00,SENS-1000,13,81,4
2026-08-09 00:12:00,SENS-1000,50,62,16
2026-08-09 00:27:00,SENS-1000,24,80,8
2026-08-09 00:42:00,SENS-1000,59,70,19
2026-08-09 00:57:00,SENS-1000,24,54,8
2026-08-09 01:12:00,SENS-1000,48,85,16
2026-08-09 01:27:00,SENS-1000,50,75,16
2026-08-09 01:42:00,SENS-1000,38,70,12
2026-08-09 01:57:00,SENS-1000,43,86,14
2026-08-09 02:12:00,SENS-1000,47,67,15
2026-08-09 02:27:00,SENS-1000,8,72,2
2026-08-09 02:42:00,SENS-1000,40,90,13
2026-08-09 02:57:00,SENS-1000,35,64,11
2026-08-09 03:12:00,SENS-1000,49,84,16
2026-08-09 03:27:00,SENS-1000,42,75,14
2026-08-09 03:42:00,SENS-1000,31,73,10
2026-08-09 03:57:00,SENS-1000,56,67,18
2026-08-09 04:12:00,SENS-1000,54,89,18
2026-08-09 04:27:00,SENS-1000,17,86,5
2026-08-09 04:42:00,SENS-1000,13,76,4
2026-08-09 04:57:00,SENS-1000,27,69,9
2026-08-09 05:12:00,SENS-1000,10,64,3
2026-08-09 05:27:00,SENS-1000,51,82,17
2026-08-09 05:42:00,SENS-1000,33,76,11
2026-08-09 05:57:00,SENS-1000,45,69,15
2026-08-09 06:12:00,SENS-1000,102,73,34
2026-08-09 06:27:00,SENS-1000,65,50,21
2026-08-09 06:42:00,SENS-1000,107,52,35
2026-08-09 06:57:00,SENS-1000,117,42,39
2026-08-09 07:12:00,SENS-1000,192,27,64
2026-08-09 07:27:00,SENS-1000,198,19,86
2026-08-09 07:42:00,SENS-1000,162,14,74
2026-08-09 07:57:00,SENS-1000,176,23,58
2026-08-09 08:12:00,SENS-1000,244,22,81
2026-08-09 08:27:00,SENS-1000,236,14,98
2026-08-09 08:42:00,SENS-1000,287,17,100
2026-08-09 08:57:00,SENS-1000,155,11,71
2026-08-09 09:12:00,SENS-1000,159,26,53
